"","Model","df","logLik","AICc","delta","weight"
"mod9","z + SiteID + (1 | PlotID)",10,-271.94,564.28,0,0.901
"mod8","z + Region + (1 | PlotID)",4,-281.22,570.52,6.239,0.04
"mod10","z + (1 | PlotID)",3,-282.43,570.91,6.626,0.033
"mod6","z + Region + z * Region + (1 | PlotID)",5,-281.02,572.14,7.859,0.018
"mod7","z + SiteID + z * SiteID + (1 | PlotID)",17,-269.25,573.61,9.327,0.008
