"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",-2.15111357065596,0.141194082293905,-1.39210976860072,-1.85418346623634,-0.918300769091997
"z",0.673855756124927,0.0380332665233776,0.65750684267157,0.492226349519643,0.826268400392419
"RegionN",-0.242272918520003,NA,-0.127868528124321,-1.66696913211521,1.39028006231858
"RegionS",-1.1881030839089,0.141194082293905,-1.22276271136034,-2.49644844079823,-0.0406556755768876
"z:RegionN",-0.247814565845958,0.0380332665233776,-0.295794754856493,-0.553995508740892,-0.0553479250815894
"z:RegionS",-0.226086571141997,NA,-0.22508578158876,-0.495941354622561,0.0184725845050796
"SiteID.(Intercept)",0.997410597912001,0.141194082293905,0.985328649859728,0.667927365099703,1.2824729159054
