"modeldataset","presabs","id","lat","long","elev_m","bio15_stream","SLOPE_stream","terrough20C_stream","bio12_stream","logbio12_stream","logDrainAre_stream"
"Stream ENM",1,"herb.2",36.3426661,-121.5395111,678,88.6703643798828,0.0334709100425243,81.2884292602539,30.306999206543,3.44384168937005,0.717582302827622
"Stream ENM",1,"herb.8",42.2129,-123.8066,1274,106.57576751709,0.251726776361465,126.750106811523,295.510986328125,5.69208427113454,0.454585211861553
"Stream ENM",1,"herb.10",39.4590238721687,-121.060393899636,762,84.7150268554688,0.0344780199229717,34.247802734375,120.86799621582,4.8029384607196,0.609560613004783
"Stream ENM",1,"herb.11",39.712,-121.2744,575,80.9957733154297,0.0417565405368805,120.500007629395,2345.61108398438,7.76072747440135,0.705838388688214
"Stream ENM",1,"herb.12",39.7312197977094,-121.402913406144,785,80.3228530883789,0.0932424515485764,119.791107177734,94.8270034790039,4.56254451873398,0.707421045600525
"Stream ENM",1,"herb.13",41.8770565857845,-123.801070849518,330,77.6114196777344,0.0118605000898242,110.003410339355,1447.70397949219,7.27842462848398,0.594783333016143
"Stream ENM",1,"herb.14",43.4135688,-122.7800138,533,94.3163833618164,0.0269085709005594,55.0824737548828,2623.84301757812,7.87277637041008,0.557462834230044
"Stream ENM",1,"herb.15",43.3787523508454,-122.953302282894,331,111.917091369629,0.0690913274884224,61.331974029541,269.865997314453,5.60162422373228,0.775796767333155
"Stream ENM",1,"herb.21",42.4264,-123.314,285,42.2703819274902,0.000989770051091909,3.88751530647278,41912.36328125,10.6433599877887,0.477713361746594
"Stream ENM",1,"herb.23",38.4994838084349,-122.998907581203,25,115.886238098145,9.99999974737875e-06,50.1277885437012,27771.654296875,10.2318071571835,0.571671047296821
"Stream ENM",1,"herb.25",38.411,-122.0465,121,99.1389007568359,0.0261278096586466,27.2778701782227,103.629997253418,4.65043029114253,0.387294899084337
"Stream ENM",1,"herb.26",42.4412527669878,-122.997889166624,350,29.2453746795654,0.00315466988831758,62.1663551330566,32310.3515625,10.3831738890331,0.474217667180191
"Stream ENM",1,"herb.33",39.9287820560263,-123.590280494819,776,81.4664764404297,0.103366658091545,118.751335144043,107.462997436523,4.68640907736262,0.439907121213627
"Stream ENM",1,"herb.44",41.8319,-122.8487,523,70.8064117431641,9.99999974737875e-06,66.3225326538086,34132.4296875,10.4380325257914,0.352616144438125
"Stream ENM",1,"herb.50",37.3687528485548,-121.643678637829,603,108.324890136719,0.00648400979116559,66.5049667358398,160.475006103516,5.08435036971706,0.671771448521042
"Stream ENM",1,"herb.51",38.5123405,-120.0683785,1439,59.1961288452148,0.0231530498713255,138.317138671875,3527.76391601562,8.16870292317044,0.576879792377923
"Stream ENM",1,"herb.56",38.2428463754227,-120.166908729758,1473,90.0640258789062,0.0427924618124962,65.2250289916992,212.188003540039,5.36217442213463,0.633914914592915
"Stream ENM",1,"herb.57",42.563,-123.5979,215,111.84415435791,0.0127854598686099,127.202194213867,1221.42199707031,7.10858941323588,0.542101562278001
"Stream ENM",1,"herb.65",41.8412889660244,-124.027929145665,156,80.5148773193359,0.0298173502087593,69.1772613525391,677.945007324219,6.52054013359279,0.595807732589777
"Stream ENM",1,"herb.77",37.4318532,-120.0014084,469,106.814010620117,0.00700750015676022,66.9279708862305,172.630996704102,5.15693233873064,0.556178464733163
"Stream ENM",1,"herb.86",42.6062,-124.0636,62,58.9134063720703,0.00109528994653374,86.593017578125,72694.96875,11.1940412115027,0.482790998502938
"Stream ENM",1,"herb.87",42.614,-124.068,112,108.390617370605,0.14912873506546,115.942916870117,780.797973632812,6.66159636143021,0.367489380556254
"Stream ENM",1,"herb.89",36.5197,-118.7578,912,55.1473274230957,0.0540569610893726,146.906646728516,1678.62805175781,7.42632765012199,0.506988697585287
"Stream ENM",1,"herb.90",41.1890937,-123.2114295,586,92.0885620117188,0.049842718988657,79.5395050048828,107.230003356934,4.68425862332372,0.567897372670782
"Stream ENM",1,"herb.92",39.7261,-121.7079,105,67.3965148925781,0.00390713009983301,68.5561065673828,5259.23876953125,8.56793169814851,0.616710850438482
"Stream ENM",1,"herb.94",40.9081109,-123.4295166,438,83.6563873291016,0.0849751383066177,88.1180419921875,215.675994873047,5.37840312655502,0.558830878490557
"Stream ENM",1,"herb.95",35.4245251485548,-120.740402997709,327,84.8461685180664,0.0278692301362753,92.4880905151367,21.0900001525879,3.09512502433958,0.458683475125604
"Stream ENM",1,"herb.97",42.4624641,-123.1743287,314,135.149627685547,0.0529471598565578,45.210033416748,115.339996337891,4.75651690700497,0.375139304534884
"Stream ENM",1,"herb.105",39.1747250307216,-120.387171301927,1696,52.6781616210938,0.126885533332825,38.8636703491211,39.3050003051758,3.69647553830723,0.84745685590911
"Stream ENM",1,"herb.109",35.7773,-118.4386,828,62.5623588562012,0.00748215010389686,60.6357002258301,12012.16015625,9.39375800754377,0.509444274252616
"Stream ENM",1,"herb.114",36.1204,-117.0888,1988,5.13380765914917,0.126067206263542,135.241851806641,1.36600005626678,0.86120078933759,0.321442497192787
"Stream ENM",1,"herb.118",44.0065624,-122.9822077,144,70.9880447387695,0.0012449900386855,77.182487487793,18657.56640625,9.83406064434655,0.498314079373838
"Stream ENM",1,"herb.119",42.2720501942194,-123.374467573024,846,120.970588684082,0.12977109849453,118.387962341309,245.117004394531,5.50580705047744,0.416107666014963
"Stream ENM",1,"herb.121",43.9929795397563,-122.982600566024,148,70.9880447387695,0.0012449900386855,30.900203704834,18657.56640625,9.83406064434655,0.498314079373838
"Stream ENM",1,"herb.122",38.7967,-119.7862,1595,97.0167083740234,0.0254990290850401,39.9788284301758,1335.07495117188,7.19749145369954,0.567167549890565
"Stream ENM",1,"herb.124",42.92419,-123.4987717,248,85.8208618164062,9.99999974737875e-06,84.7555084228516,9320.6484375,9.1400947630162,0.505258531928514
"Stream ENM",1,"herb.125",39.8509042,-121.7524111,304,90.7439651489258,0.0411793701350689,59.4491996765137,289.846984863281,5.67279730366484,0.796292415897473
"Stream ENM",1,"herb.130",43.553746443374,-122.984575307708,677,111.791709899902,0.130410254001617,116.869979858398,190.501007080078,5.25489306751067,0.469047687671657
"Stream ENM",1,"herb.137",42.1203,-123.0838,494,126.568542480469,0.0288107804954052,102.079627990723,423.239013671875,6.05029700789659,0.51197853528208
"Stream ENM",1,"herb.138",43.3144,-122.969,281,46.2930488586426,9.99999974737875e-06,83.3205032348633,30082.208984375,10.3117224540351,0.481128615386855
"Stream ENM",1,"herb.139",42.5538272007274,-123.940409579787,894,99.6588516235352,0.164323404431343,110.490119934082,788.866027832031,6.67186334605716,0.298064913484048
"Stream ENM",1,"herb.140",39.849,-120.7638,1524,72.5672760009766,0.136468231678009,67.7373046875,37.3050003051758,3.64558044393578,0.505973173792387
"Stream ENM",1,"herb.142",37.635543,-118.0896333,1624,0,0,83.8856430053711,0,0,0
"Stream ENM",1,"herb.145",36.113,-117.1636,1048,19.9942264556885,0.140040561556816,170.010528564453,4.51700019836426,1.70783427024539,0.44223027029873
"Stream ENM",1,"herb.148",39.2498053,-122.9152253,527,98.7384185791016,0.0163565799593925,140.801712036133,248.164001464844,5.51811132007736,0.765023053773537
"Stream ENM",1,"herb.150",39.5189,-121.3442,361,85.9895095825195,0.0865038484334946,84.5272445678711,99.8430023193359,4.61356487497583,0.628988817103236
"Stream ENM",1,"herb.163",35.4951,-118.698,512,75.162483215332,0.0178799498826265,162.395385742188,8138.37890625,9.00446915464199,0.526231268882156
"Stream ENM",1,"herb.166",35.9837,-121.2374,305,113.8828125,0.00566828995943069,10.778470993042,1098.67199707031,7.00276722983909,0.759164178035094
"Stream ENM",1,"herb.174",35.8735,-121.2346,335,108.966842651367,0.0184649098664522,38.6489219665527,277.035003662109,5.62774701821796,0.674583584013089
"Stream ENM",1,"herb.176",39.3423,-121.491,41,127.435348510742,0.00354449008591473,9.44324684143066,578.841979980469,6.36275561811015,0.818902225784879
"Stream ENM",1,"herb.179",40.2813,-122.1633,127,103.046440124512,0.00565504981204867,27.6391544342041,988.960021972656,6.89766456046747,0.549571929615065
"Stream ENM",1,"herb.181",39.6629,-121.4231,382,91.0415954589844,0.120354026556015,94.5776443481445,501.071014404297,6.21874157264356,0.712114858784936
"Stream ENM",1,"herb.185",42.3562692756588,-123.414267960244,292,62.2853240966797,0.0036761499941349,48.0424308776855,8869.9150390625,9.09053323109478,0.487384974618329
"Stream ENM",1,"herb.186",43.4742618,-123.5410615,84,78.7112274169922,0.00246881996281445,60.2852592468262,97164.0859375,11.4841667277475,0.493714600857711
"Stream ENM",1,"herb.189",38.782,-120.4183,1240,74.0503768920898,0.194804355502129,94.5301513671875,33.4910011291504,3.54069845317725,0.702034203747514
"Stream ENM",1,"herb.191",42.3479,-123.7813,283,118.98526763916,0.234369918704033,94.1179580688477,160.893005371094,5.08693565635989,0.707063780360727
"Stream ENM",1,"herb.199",37.2527,-122.0436,175,114.116989135742,0.0261659305542707,39.527961730957,121.815002441406,4.81067917796922,0.745759668496773
"Stream ENM",1,"herb.200",37.2721074105788,-122.084729854208,268,105.244789123535,0.0207633506506681,92.2042617797852,175.725006103516,5.17459488659382,0.475348166723145
"Stream ENM",1,"herb.202",37.462536656626,-119.782903926032,877,93.6313934326172,0.0428336188197136,27.994571685791,76.306999206543,4.34778449750395,0.598516939008364
"Stream ENM",1,"herb.203",37.48143,-119.9624044,586,100.714546203613,0.0166824795305729,49.6407928466797,75.1340026855469,4.33249498091678,0.452590285368157
"Stream ENM",1,"herb.204",37.5271899744593,-119.917886824941,862,87.6556701660156,0.0360591895878315,26.3512134552002,39.4850006103516,3.70093155021407,0.384209621284603
"Stream ENM",1,"herb.205",37.7422467,-119.5626605,1229,53.117862701416,0.0166201908141375,121.331245422363,1181.12805175781,7.07507152691873,0.517807528702571
"Stream ENM",1,"herb.206",37.797985,-122.150402,205,69.6837844848633,0.0332248695194721,42.9800643920898,14.4010000228882,2.73443244386248,0.613136860035794
"Stream ENM",1,"herb.208",37.8838302,-121.9766373,179,41.958553314209,0.0936002433300018,47.9320068359375,5.97900009155273,1.94290565315333,0.691098289315807
"Stream ENM",1,"herb.209",38.0978,-120.1072,1424,89.4936141967773,0.0269032195210457,66.5940399169922,414.600006103516,6.02972327391111,0.818373846023062
"Stream ENM",1,"herb.210",37.7504,-119.5967,1401,56.9661293029785,0.355246484279633,327.84130859375,1120.03601074219,7.02200854632265,0.510638042277504
"Stream ENM",1,"herb.211",37.9171786080712,-121.946262487711,206,88.9189910888672,0.0304271392524242,42.8157386779785,25.9619998931885,3.29442846330732,0.630230497218688
"Stream ENM",1,"herb.212",40.1372,-121.6443,1019,74.4065246582031,0.172980546951294,62.875602722168,39.6040000915527,3.70386658617696,0.701707275701538
"Stream ENM",1,"herb.213",42.134598284821,-123.062848948191,482,48.5088882446289,0.00655360007658601,71.4538497924805,5747.78515625,8.65674383429532,0.500388563232085
"Stream ENM",1,"herb.215",42.1773025727685,-122.897083236649,917,115.106636047363,0.14129750430584,76.2514419555664,32.0419998168945,3.4977794739668,0.62129793199692
"Stream ENM",1,"herb.216",42.5307,-123.7887,746,104.535614013672,0.0363229885697365,120.087699890137,1139.66394042969,7.03936577574291,0.4382857402897
"Stream ENM",1,"herb.217",43.5729099,-122.9743176,414,103.716423034668,0.0317573882639408,77.1476898193359,697.294006347656,6.54864022660974,0.381951197681551
"Stream ENM",1,"herb.219",38.5028246,-122.0995271,147,94.1583480834961,0.0575095489621162,111.109718322754,67.6309967041016,4.22874427967829,0.635399488870188
"Stream ENM",1,"herb.221",37.8275966,-119.8652506,1390,94.1371917724609,0.0317369885742664,36.8832550048828,205.625,5.33090555614119,0.437147178627938
"Stream ENM",1,"herb.223",37.9280862,-120.1491004,992,94.2800445556641,0.0400233715772629,82.5111999511719,138.550994873047,4.9384300891081,0.580999023931347
"Stream ENM",1,"herb.224",37.9899,-120.172,856,95.8797149658203,0.063909649848938,117.70970916748,238.093002319336,5.47685260728291,0.784673029959047
"Stream ENM",1,"herb.225",37.9990353,-120.1772721,788,91.4773941040039,0.0202923901379108,117.70970916748,896.330017089844,6.79942370642457,0.796358273586236
"Stream ENM",1,"herb.226",38.0452817,-120.1009713,1546,91.7788925170898,0.026429820805788,29.3892917633057,185.682006835938,5.22940667116278,0.796321286291686
"Stream ENM",1,"herb.227",38.0737,-120.1516,1417,85.8115539550781,0.0840894803404808,50.5289459228516,71.0800018310547,4.27777663870317,0.742905264292779
"Stream ENM",1,"herb.230",38.5532123,-122.7274603,163,83.9411849975586,0.0607771091163158,27.5735149383545,49.1559982299805,3.91513811303801,0.471650095634637
"Stream ENM",1,"herb.238",39.225,-122.7084,997,55.2528953552246,0.224925652146339,93.2612533569336,11.3470001220703,2.51341312847224,1.02233869143272
"Stream ENM",1,"herb.240",39.2331715,-122.704132,1141,86.0919952392578,0.158355966210365,93.2612533569336,47.5309982299805,3.88220273254373,0.548090514221552
"Stream ENM",1,"herb.243",37.986,-120.0196,1361,87.2791595458984,0.0946216434240341,62.8984909057617,671.947998046875,6.51166805778396,0.691269959534723
"Stream ENM",1,"herb.247",35.7128819,-117.9239858,1167,0,0,95.6609344482422,0,0,0
