"ID","site","Uplot","surv0","surv1","surv2","surv3","surv4","surv_end15","start","size1","size2","size3","size4","size1_ln","size2_ln","size3_ln","size4_ln","pFlower2014","fec2014","pFlower2015","fec2015"
"tran_494","CALAPOOIA","CALAPOOIAP06",1,1,1,0,NA,0,NA,153,277,NA,NA,5.03695260241363,5.62762111369064,NA,NA,1,16,NA,NA
"tran_495","CALAPOOIA","CALAPOOIAP06",1,1,1,0,NA,0,NA,103,175,NA,NA,4.64439089914137,5.17048399503815,NA,NA,1,12,NA,NA
"tran_490","CALAPOOIA","CALAPOOIAP06",1,1,1,0,NA,0,NA,23,108,NA,NA,3.17805383034795,4.69134788222914,NA,NA,1,5,NA,NA
"tran_486","CALAPOOIA","CALAPOOIAP06",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_491","CALAPOOIA","CALAPOOIAP06",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_493","CALAPOOIA","CALAPOOIAP06",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_478","CALAPOOIA","CALAPOOIAP07",1,1,1,1,1,1,NA,95,98,25,41,4.56434819146784,4.59511985013459,3.25809653802148,3.73766961828337,0,NA,0,NA
"tran_480","CALAPOOIA","CALAPOOIAP07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_483","CALAPOOIA","CALAPOOIAP07",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_484","CALAPOOIA","CALAPOOIAP07",1,1,1,1,1,1,NA,12,16,6,7,2.56494935746154,2.83321334405622,1.94591014905531,2.07944154167984,0,NA,0,NA
"tran_476","CALAPOOIA","CALAPOOIAP07",1,1,1,1,1,1,NA,16,5,2,3,2.83321334405622,1.79175946922805,1.09861228866811,1.38629436111989,0,NA,0,NA
"tran_475","CALAPOOIA","CALAPOOIAP07",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_479","CALAPOOIA","CALAPOOIAP07",1,1,1,1,1,1,NA,55,48,21,100,4.02535169073515,3.89182029811063,3.09104245335832,4.61512051684126,0,NA,0,NA
"tran_481","CALAPOOIA","CALAPOOIAP07",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tran_477","CALAPOOIA","CALAPOOIAP07",1,1,1,0,NA,0,NA,33,29,NA,NA,3.52636052461616,3.40119738166216,NA,NA,0,NA,NA,NA
"tran_482","CALAPOOIA","CALAPOOIAP07",1,1,1,1,1,1,NA,9,13,7,34,2.30258509299405,2.63905732961526,2.07944154167984,3.55534806148941,1,1,0,NA
"tran_466","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,3,4,NA,NA,1.38629436111989,1.6094379124341,NA,NA,0,NA,NA,NA
"tran_465","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,53,84,NA,NA,3.98898404656427,4.44265125649032,NA,NA,1,2,NA,NA
"tran_469","CALAPOOIA","CALAPOOIAP08",1,1,1,1,1,1,NA,81,89,57,278,4.40671924726425,4.49980967033027,4.06044301054642,5.63121178182137,1,2,1,34
"tran_468","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,11,13,NA,NA,2.484906649788,2.63905732961526,NA,NA,0,NA,NA,NA
"tran_472","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,86,183,NA,NA,4.46590811865458,5.21493575760899,NA,NA,1,28,NA,NA
"tran_467","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,70,114,NA,NA,4.26267987704132,4.74493212836325,NA,NA,1,8,NA,NA
"tran_473","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,75,102,NA,NA,4.33073334028633,4.63472898822964,NA,NA,1,30,NA,NA
"tran_464","CALAPOOIA","CALAPOOIAP08",1,1,1,0,NA,0,NA,18,21,NA,NA,2.94443897916644,3.09104245335832,NA,NA,0,NA,NA,NA
