"Site","lambda","ID1","lat","long","el"
"CALAPOOIA",1.30301962634615,5,44.359642,-122.842903,146
"COAST",1.33731969669001,3,43.6517,-123.087967,260
"HUNTER",0.200857823049325,8,44.922787,-123.327316,101
"LOOK",0.312662865421581,9,43.144088,-123.475052,176
"MOSBY",0.916727204544141,4,43.721298,-122.976311,243
"ROCK",0.603537943260907,1,43.37876,-122.952072,326
"THOMAS",2.41343572246477,7,44.711785,-122.61087,229
"WILEY",1.10981914178498,6,44.412022,-122.675446,176
