"","X1","Site","lambda","ID1","lat","long","el","lower.bias","upper.bias","lower","upper","region","ID2","LRavg","GAMavg","RFavg","BRTavg","MAXavg","Ens"
"1",1,"LOOK",0.312662865421581,9,43.144088,-123.475052,176,0.152177317840688,0.588448522521729,0.0807833541987349,0.487345294115626,"in","Looking Glass",0.598738330284458,0.61613867436941,0.4456,0.442482539455025,0.454056912660599,0.511403291353898
"2",2,"ROCK",0.603537943260907,1,43.37876,-122.952072,326,0.431693117442936,0.873981593595167,0.342022858500492,0.787941625298925,"in","Rock Creek",0.43021136653892,0.432040690671655,0.3712,0.329596447598473,0.4199571788311,0.39660113672803
"3",3,"COAST",1.33731969669001,3,43.6517,-123.087967,260,1.05847272325003,1.79584388193077,1.03985081594849,1.76559459368413,"in","Coast Fork Willamette",0.383448242361512,0.389702669006751,0.3036,0.285920407814441,0.392782205343246,0.35109070490519
"4",4,"MOSBY",0.916727204544141,4,43.721298,-122.976311,243,0.624506231350864,1.37847500108121,0.544685109014539,1.24328695459445,"in","Mosby Creek",0.425468841471871,0.404803197391203,0.3882,0.317874001509516,0.361918565630913,0.379652921200701
"5",5,"CALAPOOIA",1.30301962634615,5,44.359642,-122.842903,146,0.902101481529782,1.90459584552593,0.897297827515892,1.90206738317839,"out","Calapooia Creek",0.352979528639509,0.27243369191991,0.079,0.0295433446188891,0.341483321785927,0.215087977392847
"6",6,"WILEY",1.10981914178498,6,44.412022,-122.675446,176,0.474047770792604,2.13228036951113,0.376529909449797,1.90207456271556,"out","Wiley Creek",0.427773119522314,0.391509435186525,0.2786,0.208026719607089,0.347059506177902,0.330593756098766
"7",7,"THOMAS",2.41343572246477,7,44.711785,-122.61087,229,1.94576161054356,3.36425190002006,1.92964875789144,3.24153873493879,"out","Thomas",0.255183866753296,0.267415027114782,0.3192,0.273103230123782,0.314906606078148,0.285961746014002
"8",8,"HUNTER",0.200857823049325,8,44.922787,-123.327316,101,0.113276946939278,0.535719329422925,0.0767824827036006,0.394364690267685,"out","Hunter",0.441499272281853,0.47657272690331,0.5538,0.721862673465742,0.421271604299545,0.52300125539009
