"","Site","lambda","ID1","lat","long","el","lower.bias","upper.bias","lower","upper","region"
"1","LOOK",0.312662865421581,9,43.144088,-123.475052,176,0.152177317840688,0.588448522521729,0.0807833541987349,0.487345294115626,"in"
"2","ROCK",0.603537943260907,1,43.37876,-122.952072,326,0.431693117442936,0.873981593595167,0.342022858500492,0.787941625298925,"in"
"3","COAST",1.33731969669001,3,43.6517,-123.087967,260,1.05847272325003,1.79584388193077,1.03985081594849,1.76559459368413,"in"
"4","MOSBY",0.916727204544141,4,43.721298,-122.976311,243,0.624506231350864,1.37847500108121,0.544685109014539,1.24328695459445,"in"
"5","CALAPOOIA",1.30301962634615,5,44.359642,-122.842903,146,0.902101481529782,1.90459584552593,0.897297827515892,1.90206738317839,"out"
"6","WILEY",1.10981914178498,6,44.412022,-122.675446,176,0.474047770792604,2.13228036951113,0.376529909449797,1.90207456271556,"out"
"7","THOMAS",2.41343572246477,7,44.711785,-122.61087,229,1.94576161054356,3.36425190002006,1.92964875789144,3.24153873493879,"out"
"8","HUNTER",0.200857823049325,8,44.922787,-123.327316,101,0.113276946939278,0.535719329422925,0.0767824827036006,0.394364690267685,"out"
