"","V1","V2","V3","V4"
"1","CALAPOOIA","1.56128226742618","1.68612412673488","3.09747301699357"
"2","COAST","1.49748968635807","1.56337576629114","3.62099839312702"
"3","HUNTER","0.489290912567859","0.491859692469891","5.61521579412263"
"4","LOOK","0.337599964174086","0.337620359587242","4.06909826755748"
"5","MOSBY","1.05312246513632","1.05778732870149","2.88064369614363"
"6","ROCK","0.684211260186163","0.68422121426194","7.74840325018336"
"7","THOMAS","2.09171774214691","2.18819418318669","5.23975441945449"
"8","WILEY","1.33941769513271","2.31642775953764","-25.838506693472"
