"","Model","df","logLik","AICc","delta","weight"
"mod2","z + I(z^2) + Year + Region + z * Year + z * Region + (1 | SiteID)",12,-1980.58,3985.19,0,0.621
"mod3","z + I(z^2) + Year + Region + z * Year + (1 | SiteID)",10,-1983.1,3986.22,1.025,0.372
"mod7","z + I(z^2) + Year + z * Year + (1 | SiteID)",8,-1989.17,3994.36,9.165,0.006
"mod4","z + I(z^2) + Year + Region + z * Region + (1 | SiteID)",10,-1996.4,4012.81,27.621,0
"mod5","z + I(z^2) + Year + Region + (1 | SiteID)",8,-2001.49,4019,33.812,0
"mod9","z + I(z^2) + Year + (1 | SiteID)",6,-2008.31,4028.63,43.434,0
"mod6","z + I(z^2) + Region + z * Region + (1 | SiteID)",8,-2062.77,4141.56,156.372,0
"mod8","z + I(z^2) + Region + (1 | SiteID)",6,-2069.12,4150.25,165.053,0
"mod10","z + I(z^2) + (1 | SiteID)",4,-2076.77,4161.54,176.345,0
