"","region","lambda","LL","UL"
"1","North",1.0177042024444,0.597967624333937,1.89395151014612
"2","Center",1.14576482375095,0.958698419030707,1.77284966581528
"3","South",1.64153010658605,0.647624677772842,4.21667304865067
