"","Est","SE","BootMean","2.5%","97.5%"
"(Intercept)",1.4540504025284,0.693483787833194,1.43681445087147,1.17730820842039,1.7634446391505
"z",0.702072691497909,0.206579704283344,0.707137090263692,0.610364217508476,0.78313402725864
"RegionN",0.384484194023732,NA,0.466835324564063,-0.177187320323948,1.19677617780406
"RegionS",-0.106065709885631,0.693483787833194,0.0416330467730409,-0.749000715008026,0.885000940566717
"z:RegionN",-0.0805634686824646,0.206579704283344,-0.101067962537592,-0.275185766341376,0.0539031690453283
"z:RegionS",-0.113371866399724,NA,-0.18077050977001,-0.592606983202055,0.0698379735857746
"SiteID.(Intercept)",0.315869140624999,0.693483787833194,0.367091523437499,0.199403808593749,0.552129882812499
