ID,GROUP,CODE,SITE,PLOT,SUBSTRATE,silt,sand,gravel,cobble,boulder,slab,H_silt,H_sand,H_gravel,H_cobble,H_boulder,H_slab,SUM,aspect,Densi_raw_Mean,Asp_Expo,Densi_cover,Particle_mean,Particle_even,moist_score,Vert _dist_wat,Horiz_dist_to_wat,tot_area_Seasonal,plot_slope,WatAREA__to_bankAREA,
1,1,MOSBY P12.2,MOSBY,P12,cobble,0,20,2.5,75,2.5,0,#NUM!,-3.E-01,-9.E-02,-2.E-01,-9.E-02,#NUM!,100,180,4,0,4.16,0.82125,0.72,1,0.82,9.07,5.04,0.10,3.74,
1,1,MOSBY P11.2,MOSBY,P11,sand,0,50,30,15,5,0,#NUM!,-3.E-01,-4.E-01,-3.E-01,-1.E-01,#NUM!,100,270,51.5,90,53.56,0.4325,1.14,3,0.46,9.05,4.185,0.15,2.54,
1,1,MOSBY P05.2,MOSBY,P05,sand,0,75,15,10,0,0,#NUM!,-2.E-01,-3.E-01,-2.E-01,#NUM!,#NUM!,100,180,40,0,41.6,0.2875,0.73,1.5,0.66,5.79,2.907,0.16,2.35,
1,1,MOSBY P09.2,MOSBY,P09,sand,0,55,5,10,30,0,#NUM!,-3.E-01,-1.E-01,-2.E-01,-4.E-01,#NUM!,100,180,61,0,63.44,0.5525,1.07,3.5,0.15,5.74,1.824,0.15,0.39,
1,1,MOSBY P10.2,MOSBY,P10,cobble,0,10,40,50,0,0,#NUM!,-2.E-01,-4.E-01,-3.E-01,#NUM!,#NUM!,100,180,36.5,0,37.96,0.715,0.94,2,0.35,3.96,1.287,0.14,0.5,
1,1,MOSBY P08.2,MOSBY,P08,cobble,0,5,10,75,10,0,#NUM!,-1.E-01,-2.E-01,-2.E-01,-2.E-01,#NUM!,100,160,82,20,85.28,0.9225,0.83,3.5,0.60,5.05,1.75,0.24,15,
1,1,MOSBY P07.2,MOSBY,P07,cobble,0,15,5,75,5,0,#NUM!,-3.E-01,-1.E-01,-2.E-01,-1.E-01,#NUM!,100,30,37.5,150,39,0.855,0.80,3,0.31,7.36,3.4675,0.19,0.88,
1,1,MOSBY P06.2,MOSBY,P06,cobble,0,15,5,50,30,0,#NUM!,-3.E-01,-1.E-01,-3.E-01,-4.E-01,#NUM!,100,40,44,140,45.76,0.8925,1.14,3.5,0.25,7.35,3.139,0.16,0.59,
1,1,MOSBY P04.2,MOSBY,P04,cobble,1,10,15,74,0,0,-5.E-02,-2.E-01,-3.E-01,-2.E-01,#NUM!,#NUM!,100,230,12.5,50,13,0.829,0.78,1,0.75,4.01,1.8525,0.22,10.88,
1,1,MOSBY P01.2,MOSBY,P01,sand,0,90,5,5,0,0,#NUM!,-9.E-02,-1.E-01,-1.E-01,#NUM!,#NUM!,100,220,24,40,24.96,0.21,0.39,3,0.58,12.81,3.776,0.02,15,
