ID1,ID2,lat,long,el
1,ROCK,43.37876,-122.952072,326
2,HINK,43.433601,-123.088577,327
3,COAST,43.6517,-123.087967,260
4,MOSBY,43.721298,-122.976311,243
5,CALAPOOIA,44.359642,-122.842903,146
6,WILEY,44.412022,-122.675446,176
7,THOMAS,44.711785,-122.61087,229
8,HUNTER,44.922787,-123.327316,101
9,LOOK,43.144088,-123.475052,176
